Price,Close,High,Low,Open,Volume,Return,MA20,MA50,Volatility,Volume_Change,RSI
Ticker,INFY.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS,,,,,,
Date,,,,,,,,,,,
2026-01-22,1663.5,1671.199951171875,1653.800048828125,1666.0,6228892,0.005500468720774032,1631.7650085449218,1601.126005859375,0.016059989498625107,0.0006924159726708901,54.62554893790933
2026-01-23,1670.800048828125,1675.699951171875,1662.199951171875,1667.199951171875,5869137,0.004388367194544607,1632.5000122070312,1603.706005859375,0.016050135544419364,-0.05775585770310354,64.43947526158917
2026-01-27,1682.699951171875,1689.4000244140625,1661.0999755859375,1685.800048828125,10673087,0.0071222779482778,1634.4000122070313,1607.30400390625,0.01601369112149259,0.818510455625759,65.38630403253221
2026-01-28,1666.5,1688.800048828125,1650.0,1680.0,8588664,-0.009627355822167227,1636.6450134277343,1610.4820043945313,0.015820742734405088,-0.1952971057014714,56.2929132098662
2026-01-29,1659.5,1666.5,1642.0999755859375,1658.0,4749582,-0.00420042004200416,1638.8500122070313,1613.94400390625,0.01582762215111984,-0.44699408429529897,61.56156064419952
2026-01-30,1641.0,1655.0,1618.0999755859375,1655.0,9207926,-0.01114793612533893,1639.410009765625,1615.9420043945313,0.015965742205371853,0.9386813408000956,56.183917129084236
2026-02-02,1629.4000244140625,1662.0,1618.0,1662.0,6784887,-0.0070688455733927125,1638.860009765625,1617.8000048828126,0.015983815789816565,-0.2631470974028245,57.94215635657281
2026-02-03,1656.0,1728.0,1653.0,1727.199951171875,8805868,0.01632501238945472,1641.3400085449218,1620.0200048828126,0.015624817754983688,0.2978650934053877,62.15870813726041
2026-02-04,1535.800048828125,1584.9000244140625,1510.0999755859375,1574.0,28828622,-0.07258451157721924,1637.5200134277343,1619.776005859375,0.022772217352285497,2.2737967455337738,40.955337008095704
2026-02-05,1520.199951171875,1551.0,1515.699951171875,1534.0,10628127,-0.010157635864221692,1631.580010986328,1619.5680053710937,0.02239290331002479,-0.6313341997407993,39.22575545483265
2026-02-06,1507.0999755859375,1525.0,1480.0,1522.0999755859375,13900866,-0.008617271416065497,1626.2700073242188,1618.5520043945312,0.02224614615293526,0.3079318679575431,18.76920521551365
2026-02-09,1497.199951171875,1528.0,1493.0,1522.0999755859375,8294615,-0.006568923478492916,1620.4250061035157,1617.1680029296874,0.022241118247133266,-0.4033022834692457,18.686160258732727
2026-02-10,1497.800048828125,1515.9000244140625,1491.0,1500.0,8657000,0.0004008133020445559,1615.5200073242188,1615.9220043945313,0.022179820751189558,0.04368918870857774,20.396914729774167
2026-02-11,1471.9000244140625,1505.9000244140625,1469.0,1501.199951171875,7934411,-0.017292044044414756,1609.1650085449219,1614.0800048828125,0.02237358507370761,-0.08346875360979555,18.909710391822827
2026-02-12,1386.0,1435.699951171875,1380.5,1428.9000244140625,26048896,-0.05835995854966969,1598.4750061035156,1610.5800048828125,0.02542815029025769,2.283028318044024,12.530385713127217
2026-02-13,1369.0999755859375,1377.300048828125,1281.5,1293.9000244140625,45783961,-0.012193379808125848,1586.9400024414062,1606.3880053710936,0.025401813148716385,0.7576161769005489,10.292175065332842
